,Transmission,Drive,Drive Type,Engine Size,Engine Cylinders,City MPG,Highway MPG,Fuel,Super,Class
946,Automatic,2 wheel,Front,1.6,4.0,21,29.0,Gas,Turbo,Convertible
947,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Van
948,Automatic,4 wheel,-1,3.0,6.0,16,21.0,Gas,Super,Suv-crossover
949,Automatic,2 wheel,Rear,5.3,8.0,20,23.0,Gas,None,Truck
950,Manual,2 wheel,Rear,2.5,4.0,20,26.0,Gas,None,Truck
951,Automatic,2 wheel,Rear,4.4,8.0,15,23.0,Gas,Turbo,Convertible
952,Automatic,2 wheel,Rear,3.5,6.0,18,24.0,Flexible,None,Truck
953,Automatic,4 wheel,-1,6.7,8.0,-1,-1.0,Diesel,Turbo,Truck
954,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Van
955,Automatic,2 wheel,Rear,2.0,4.0,24,34.0,Gas,Turbo,Sedan
956,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
957,Automatic,All wheel,-1,2.0,4.0,23,30.0,Gas,Turbo,Convertible
958,Automatic,2 wheel,Rear,5.3,8.0,15,22.0,Flexible,None,Suv-crossover
959,Automatic,2 wheel,Front,2.0,4.0,21,28.0,Gas,Turbo,Suv-crossover
960,Automatic,2 wheel,Rear,3.9,8.0,15,22.0,Gas,Turbo,Convertible
961,Automatic,2 wheel,Rear,6.2,8.0,-1,-1.0,Gas,None,Convertible
962,Manual,2 wheel,Rear,2.0,4.0,27,34.0,Gas,None,Convertible
963,Automatic,2 wheel,Front,2.4,4.0,26,35.0,Gas,None,Sedan
964,Automatic,All wheel,-1,2.0,4.0,22,31.0,Gas,Turbo,Suv-crossover
965,Automatic,2 wheel,Rear,5.7,8.0,15,22.0,Gas,None,Truck
966,Automatic,2 wheel,Rear,3.0,6.0,20,30.0,Gas,Turbo,Convertible
967,Automatic,2 wheel,Rear,4.3,8.0,11,16.0,Gas,None,Convertible
968,Automatic,4 wheel,-1,5.3,8.0,17,22.0,Gas,None,Truck
969,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
970,Manual,4 wheel,-1,3.6,6.0,17,21.0,Gas,None,Suv-crossover
971,Automatic,2 wheel,Front,1.8,4.0,53,52.0,Gas,None,Sedan
972,Automatic,2 wheel,Front,2.4,4.0,20,27.0,Gas,None,Suv-crossover
973,Automatic,2 wheel,Front,3.5,6.0,19,28.0,Gas,None,Van
974,Automatic,2 wheel,Rear,4.7,8.0,13,20.0,Gas,None,Convertible
975,Manual,All wheel,-1,3.6,6.0,15,24.0,Gas,Turbo,Convertible
976,Manual,2 wheel,Rear,7.0,8.0,15,24.0,Gas,None,Convertible
977,Automatic,2 wheel,Front,3.7,6.0,18.0,27.0,Gas,None,Sedan
978,Automatic,4 wheel,-1,3.0,6.0,16,21.0,Gas,Super,Suv-crossover
979,Automatic,2 wheel,Front,3.3,6.0,18,24.0,Gas,None,Van
980,Automatic,2 wheel,Rear,6.4,8.0,-1,-1.0,Gas,None,Truck
981,Automatic,2 wheel,Rear,3.5,6.0,20.0,28.0,Gas,None,Sedan
982,Automatic,2 wheel,Rear,3.0,6.0,21,29.0,Gas,Turbo,Convertible
983,Manual,2 wheel,Rear,2.0,4.0,26,33.0,Gas,None,Convertible
984,Automatic,All wheel,-1,2.0,4.0,19,25.0,Gas,Turbo,Suv-crossover
985,Automatic,All wheel,-1,3.0,6.0,20,30.0,Gas,Turbo,Convertible
986,Automatic,4 wheel,-1,2.5,4.0,21,27.0,Gas,None,Suv-crossover
987,Automatic,4 wheel,-1,3.0,6.0,-1,-1.0,Diesel,Turbo,Van
988,Automatic,2 wheel,Front,1.4,4.0,28.0,38.0,Gas,Turbo,Sedan
989,Automatic,2 wheel,Front,3.3,6.0,18,24.0,Gas,None,Van
990,Automatic,4 wheel,-1,6.2,8.0,16,22.0,Gas,None,Truck
991,Automatic,All wheel,-1,4.0,8.0,12,17.0,Gas,Turbo,Suv-crossover
992,Automatic,2 wheel,Rear,3.0,6.0,20,26.0,Gas,Turbo,Convertible
993,Automatic,4 wheel,-1,3.5,6.0,17,22.0,Gas,Turbo,Suv-crossover
994,Automatic,2 wheel,Front,1.5,4.0,27,36.0,Gas,Turbo,Sedan
995,Manual,All wheel,-1,2.5,4.0,19,25.0,Gas,Turbo,Sedan
996,Automatic,All wheel,-1,6.0,12.0,11,18.0,Gas,Turbo,Convertible
997,Automatic,2 wheel,Rear,3.6,6.0,18,25.0,Gas,None,Truck
998,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Gas,None,Van
999,Automatic,2 wheel,Front,1.5,4.0,30.0,38.0,Gas,Turbo,Sedan
1000,Automatic,4 wheel,-1,3.5,6.0,17,23.0,Gas,Turbo,Truck
1001,Manual,2 wheel,Rear,2.0,4.0,26,34.0,Gas,None,Convertible
1002,Automatic,All wheel,-1,2.0,4.0,20,25.0,Gas,Turbo,Suv-crossover
1003,Automatic,4 wheel,-1,6.7,8.0,-1,-1.0,Diesel,Turbo,Truck
1004,Automatic,2 wheel,Rear,3.0,6.0,20,26.0,Gas,Turbo,Convertible
1005,Automatic,2 wheel,Rear,4.3,6.0,16,21.0,Gas,None,Truck
1006,Automatic,2 wheel,Rear,3.5,6.0,17,23.0,Gas,Turbo,Suv-crossover
1007,Automatic,4 wheel,-1,6.0,8.0,-1,-1.0,Flexible,None,Truck
1008,Automatic,2 wheel,Rear,6.0,8.0,15.0,24.0,Gas,None,Sedan
1009,Automatic,All wheel,-1,2.0,4.0,19,23.0,Gas,Turbo,Suv-crossover
1010,Automatic,All wheel,-1,3.7,6.0,16,23.0,Gas,None,Suv-crossover
1011,Automatic,2 wheel,Rear,2.6,6.0,18,24.0,Gas,None,Sedan
1012,Automatic,2 wheel,Front,2.4,4.0,21,28.0,Gas,None,Van
1013,Automatic,2 wheel,Front,2.5,4.0,26.0,38.0,Gas,None,Sedan
1014,Automatic,2 wheel,Front,1.4,4.0,26,34.0,Gas,Turbo,Sedan
1015,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
1016,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Flexible,None,Van
1017,Automatic,All wheel,-1,3.0,6.0,17,22.0,Gas,Turbo,Suv-crossover
1018,Automatic,All wheel,-1,5.0,8.0,15,23.0,Gas,None,Sedan
1019,Automatic,2 wheel,Front,2.4,4.0,22,31.0,Gas,None,Suv-crossover
1020,Automatic,2 wheel,Front,1.6,4.0,20,27.0,Gas,Turbo,Convertible
1021,Automatic,All wheel,-1,2.0,4.0,22,29.0,Gas,Turbo,Truck
1022,Automatic,4 wheel,-1,3.6,6.0,18,25.0,Gas,None,Suv-crossover
1023,Manual,2 wheel,Rear,3.7,6.0,17,24.0,Gas,None,Convertible
1024,Automatic,2 wheel,Front,3.5,6.0,19,26.0,Gas,None,Van
1025,Automatic,2 wheel,Front,1.5,4.0,30.0,38.0,Gas,Turbo,Sedan
1026,Automatic,All wheel,-1,2.5,4.0,25,33.0,Gas,None,Suv-crossover
1027,Automatic,All wheel,-1,2.0,4.0,19,23.0,Gas,Turbo,Suv-crossover
1028,Automatic,2 wheel,Front,3.6,6.0,-1,-1.0,Gas,None,Van
1029,Automatic,2 wheel,Front,3.5,6.0,19,26.0,Gas,None,Van
1030,Automatic,4 wheel,-1,3.0,6.0,22,28.0,Diesel,Turbo,Truck
1031,Automatic,2 wheel,Rear,2.0,4.0,23,32.0,Gas,Turbo,Convertible
1032,Manual,2 wheel,Rear,2.0,4.0,26,34.0,Gas,None,Convertible
1033,Automatic,2 wheel,Rear,3.6,6.0,17,25.0,Gas,None,Truck
1034,Automatic,2 wheel,Front,1.5,4.0,28,34.0,Gas,Turbo,Suv-crossover
1035,Automatic,2 wheel,Rear,3.6,6.0,19,29.0,Gas,None,Convertible
1036,Automatic,4 wheel,-1,4.0,6.0,17,21.0,Gas,None,Suv-crossover
1037,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Suv-crossover
1038,Automatic,2 wheel,Front,2.0,4.0,22,29.0,Gas,Turbo,Suv-crossover
